T03,"Population growth and indicators of fertility and mortality",,,,,
740,Suriname,2015,"Population annual rate of increase (percent)",1.103,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
740,Suriname,2015,"Total fertility rate (children per women)",2.5582,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2015,"Infant mortality for both sexes (per 1,000 live births)",20.261,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
740,Suriname,2015,"Maternal mortality ratio (deaths per 100,000 population)",155.1554,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
740,Suriname,2015,"Life expectancy at birth for both sexes (years)",70.934,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2015,"Life expectancy at birth for males (years)",67.8,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
740,Suriname,2015,"Life expectancy at birth for females (years)",74.26,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
752,Sweden,2005,"Population annual rate of increase (percent)",0.35,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
752,Sweden,2005,"Total fertility rate (children per women)",1.6703,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
752,Sweden,2005,"Infant mortality for both sexes (per 1,000 live births)",3.232,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
752,Sweden,2005,"Maternal mortality ratio (deaths per 100,000 population)",4.8456,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
752,Sweden,2005,"Life expectancy at birth for both sexes (years)",80.125,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
752,Sweden,2005,"Life expectancy at birth for males (years)",77.87,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
752,Sweden,2005,"Life expectancy at birth for females (years)",82.31,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
752,Sweden,2010,"Population annual rate of increase (percent)",0.763,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
752,Sweden,2010,"Total fertility rate (children per women)",1.8905,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
752,Sweden,2010,"Infant mortality for both sexes (per 1,000 live births)",2.568,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
752,Sweden,2010,"Maternal mortality ratio (deaths per 100,000 population)",4.3129,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
752,Sweden,2010,"Life expectancy at birth for both sexes (years)",81.064,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
